identifier1	identifier2	annotator	judgment	comment	lemma	round
mag_1989_328766.txt-22-2	mag_1986_432289.txt-29-3	annotator5	3		chef_nn	2
fic_1848_1108.txt-907-2	fic_2007_33461.txt-116-19	annotator5	3		chef_nn	2
fic_1848_1108.txt-895-6	fic_2004_32588.txt-86-3	annotator5	4		chef_nn	2
mag_1989_328766.txt-15-6	nf_1991_774072.txt-1394-40	annotator5	3		chef_nn	2
nf_1977_774125.txt-1317-2	nf_1977_774125.txt-1398-15	annotator5	4		chef_nn	2
nf_1833_747531.txt-2651-12	nf_1991_774072.txt-1394-40	annotator5	3		chef_nn	2
fic_1848_1108.txt-888-9	nf_1977_774125.txt-1297-15	annotator5	4		chef_nn	2
news_1993_600214.txt-63-19	fic_2007_33461.txt-116-19	annotator5	3		chef_nn	2
fic_1993_25016.txt-45-24	fic_1848_1108.txt-660-44	annotator5	3		chef_nn	2
fic_1848_1108.txt-658-11	fic_2007_33461.txt-116-19	annotator5	3		chef_nn	2
fic_1855_602.txt-2563-6	nf_1991_774072.txt-1394-40	annotator5	4		chef_nn	2
news_1998_652869.txt-1-4	fic_2007_33461.txt-116-19	annotator5	3		chef_nn	2
news_1977_732998.txt-23-0	mag_2002_397228.txt-0-30	annotator5	2		chef_nn	2
fic_1827_7168.txt-1724-40	mag_1986_432289.txt-29-3	annotator5	3		chef_nn	2
mag_2004_414078.txt-72-10	fic_2005_50340.txt-357-17	annotator5	3		chef_nn	2
mag_1860_567343.txt-87-1	nf_1991_774072.txt-1394-40	annotator5	3		chef_nn	2
mag_1997_428061.txt-153-6	nf_1977_774125.txt-1297-15	annotator5	2		chef_nn	2
mag_2003_407716.txt-5-8	news_2006_629441.txt-92-6	annotator5	4		chef_nn	2
fic_2004_49470.txt-126-19	nf_1991_774072.txt-1394-40	annotator5	3		chef_nn	2
fic_1844_3928.txt-1406-9	news_2006_629441.txt-92-6	annotator5	2		chef_nn	2
mag_1988_327176.txt-25-12	nf_1991_774072.txt-1394-40	annotator5	3		chef_nn	2
mag_1827_553811.txt-241-8	mag_1986_432289.txt-29-3	annotator5	2		chef_nn	2
fic_1848_1108.txt-1267-1	news_2006_629441.txt-92-6	annotator5	2		chef_nn	2
mag_1843_565236.txt-728-35	fic_2004_32588.txt-86-3	annotator5	3		chef_nn	2
news_2005_623919.txt-25-4	fic_2005_50340.txt-357-17	annotator5	3		chef_nn	2
fic_1993_25002.txt-9471-1	nf_1977_774125.txt-1398-15	annotator5	3		chef_nn	2
fic_1848_1108.txt-1284-31	fic_2005_50340.txt-357-17	annotator5	3		chef_nn	2
mag_2004_410917.txt-95-12	nf_1977_774125.txt-1297-15	annotator5	4		chef_nn	2
fic_2008_36299.txt-94-1	fic_1848_1108.txt-660-44	annotator5	2		chef_nn	2
mag_1834_564675.txt-91-45	news_1995_631270.txt-48-3	annotator5	3		chef_nn	2
fic_1848_1108.txt-902-6	fic_2007_33461.txt-116-19	annotator5	3		chef_nn	2
mag_1827_553813.txt-226-40	mag_1986_432289.txt-29-3	annotator5	2	French sentence, yet same root	chef_nn	2
fic_1848_1108.txt-1271-6	fic_2005_50340.txt-357-17	annotator5	2		chef_nn	2
nf_1991_774072.txt-1191-11	fic_2005_50340.txt-357-17	annotator5	3		chef_nn	2
fic_1998_43729.txt-862-4	news_2006_629441.txt-92-6	annotator5	2		chef_nn	2
nf_1838_747482.txt-609-7	nf_1977_774125.txt-1297-15	annotator5	3		chef_nn	2
news_1977_732998.txt-23-0	news_1993_655748.txt-41-5	annotator5	3		chef_nn	2
nf_2009_774617.txt-77-3	fic_1992_40323.txt-77-14	annotator5	4		chef_nn	2
news_2006_623955.txt-26-1	fic_1848_1108.txt-660-44	annotator5	2		chef_nn	2
mag_1994_409087.txt-47-2	fic_2007_33461.txt-116-19	annotator5	4		chef_nn	2
mag_1997_428061.txt-162-1	nf_1977_774125.txt-1398-15	annotator5	0	not the same root	chef_nn	2
mag_2004_415399.txt-38-3	mag_1986_432289.txt-29-3	annotator5	2		chef_nn	2
fic_1838_7250.txt-1671-18	nf_1977_774125.txt-1398-15	annotator5	2		chef_nn	2
fic_1835_7064.txt-946-17	nf_1977_774125.txt-1398-15	annotator5	3		chef_nn	2
mag_1836_554393.txt-176-33	fic_2005_50340.txt-357-17	annotator5	2		chef_nn	2
fic_1846_544.txt-2808-20	mag_2002_397228.txt-0-30	annotator5	3		chef_nn	2
fic_1819_8988.txt-1529-15	mag_1994_426049.txt-149-1	annotator5	2		chef_nn	2
news_2006_636092.txt-61-0	nf_1977_774125.txt-1398-15	annotator5	3		chef_nn	2
fic_1997_42337.txt-598-17	news_1995_631270.txt-48-3	annotator5	3		chef_nn	2
fic_1846_556.txt-613-30	news_2006_629441.txt-92-6	annotator5	4		chef_nn	2
fic_1850_7304.txt-1678-37	mag_1994_409087.txt-47-2	annotator5	0	different language	chef_nn	2
fic_1848_1108.txt-880-9	mag_1986_432289.txt-29-3	annotator5	3		chef_nn	2
mag_1827_553811.txt-58-39	nf_1991_774072.txt-1394-40	annotator5	2		chef_nn	2
mag_1836_554393.txt-176-6	mag_2002_397228.txt-0-30	annotator5	2		chef_nn	2
fic_1848_1108.txt-704-4	nf_1977_774125.txt-1297-15	annotator5	2		chef_nn	2
news_2004_640280.txt-14-1	nf_1977_774125.txt-1398-15	annotator5	2		chef_nn	2
fic_1995_39408.txt-349-5	nf_1977_774125.txt-1297-15	annotator5	2		chef_nn	2
fic_1999_16036.txt-585-7	news_1995_631270.txt-48-3	annotator5	3		chef_nn	2
mag_1995_395507.txt-45-4	mag_1986_432289.txt-29-3	annotator5	2		chef_nn	2
fic_2001_27380.txt-81-4	nf_1977_774125.txt-1398-15	annotator5	4		chef_nn	2
fic_1963_780073.txt-930-21	news_2006_629441.txt-92-6	annotator5	2		chef_nn	2
news_1994_620115.txt-16-3	mag_1986_432289.txt-29-3	annotator5	4		chef_nn	2
nf_1965_773962.txt-441-11	fic_2007_33461.txt-116-19	annotator5	4		chef_nn	2
fic_1844_3928.txt-3841-15	fic_1848_1108.txt-660-44	annotator5	2		chef_nn	2
mag_1850_555680.txt-297-13	mag_2002_397228.txt-0-30	annotator5	2		chef_nn	2
nf_1859_748120.txt-1635-2	fic_2004_32588.txt-86-3	annotator5	2		chef_nn	2
fic_2005_32589.txt-87-26	news_2007_637870.txt-20-6	annotator5	3		chef_nn	2
mag_2009_406412.txt-9-7	news_2006_629441.txt-92-6	annotator5	2		chef_nn	2
fic_1850_7304.txt-1678-37	news_2006_629441.txt-92-6	annotator5	0	different language	chef_nn	2
fic_1840_7057.txt-1784-63	mag_1986_432289.txt-29-3	annotator4	2		chef_nn	2
fic_1835_7142.txt-1357-3	news_2007_637870.txt-20-6	annotator4	1	cook vs head	chef_nn	2
mag_1970_490700.txt-1377-6	fic_2005_50340.txt-357-17	annotator4	4		chef_nn	2
mag_2003_407716.txt-5-8	news_2006_629441.txt-92-6	annotator4	4		chef_nn	2
fic_1835_7142.txt-815-43	news_2007_637870.txt-20-6	annotator4	4		chef_nn	2
mag_1995_395507.txt-21-17	fic_2007_33461.txt-116-19	annotator4	4		chef_nn	2
fic_1830_7266.txt-2405-21	nf_1991_774072.txt-1394-40	annotator4	1		chef_nn	2
news_2007_637889.txt-36-1	nf_1977_774125.txt-1398-15	annotator4	4		chef_nn	2
news_1969_727860.txt-19-7	fic_2004_32588.txt-86-3	annotator4	4		chef_nn	2
mag_2002_385272.txt-92-13	fic_1848_1108.txt-660-44	annotator4	4		chef_nn	2
mag_2009_405412.txt-17-12	mag_1986_432289.txt-29-3	annotator4	4		chef_nn	2
mag_1994_409087.txt-47-2	fic_2007_33461.txt-116-19	annotator4	4		chef_nn	2
nf_1833_747531.txt-2651-12	nf_1991_774072.txt-1394-40	annotator4	1		chef_nn	2
fic_1848_1108.txt-1288-2	news_1995_631270.txt-48-3	annotator4	4		chef_nn	2
fic_1848_1108.txt-886-11	mag_1986_432289.txt-29-3	annotator4	4		chef_nn	2
fic_1848_1108.txt-880-9	mag_1986_432289.txt-29-3	annotator4	4		chef_nn	2
fic_2003_27409.txt-227-20	news_1994_620115.txt-16-3	annotator4	4		chef_nn	2
fic_1850_7304.txt-1678-37	fic_1852_9031.txt-1189-25	annotator4	1		chef_nn	2
fic_1846_556.txt-613-30	news_2006_629441.txt-92-6	annotator4	4		chef_nn	2
mag_1995_395507.txt-44-0	fic_1992_40323.txt-77-14	annotator4	4		chef_nn	2
fic_1963_780073.txt-1843-7	fic_2005_50340.txt-357-17	annotator4	4		chef_nn	2
news_1996_625831.txt-58-40	news_1995_631270.txt-48-3	annotator4	4		chef_nn	2
news_1977_732998.txt-23-0	news_1993_655748.txt-41-5	annotator4	4		chef_nn	2
fic_2004_49470.txt-126-19	nf_1991_774072.txt-1394-40	annotator4	4		chef_nn	2
fic_1989_14218.txt-1947-9	fic_2004_32588.txt-86-3	annotator4	4		chef_nn	2
news_2006_604835.txt-57-12	news_2007_637870.txt-20-6	annotator4	4		chef_nn	2
fic_1852_9031.txt-1189-25	fic_1848_1108.txt-660-44	annotator4	1		chef_nn	2
news_2006_623955.txt-26-1	fic_1848_1108.txt-660-44	annotator4	4		chef_nn	2
fic_1844_3928.txt-2149-12	fic_1848_1108.txt-660-44	annotator4	2		chef_nn	2
fic_1844_3928.txt-1406-9	news_2006_629441.txt-92-6	annotator4	2		chef_nn	2
mag_1836_554393.txt-176-6	mag_2002_397228.txt-0-30	annotator4	2		chef_nn	2
news_1997_610552.txt-22-22	fic_2007_33461.txt-116-19	annotator4	4		chef_nn	2
fic_1998_43248.txt-105-21	mag_2002_397228.txt-0-30	annotator4	4		chef_nn	2
nf_1856_755595.txt-1039-23	fic_2005_50340.txt-357-17	annotator4	4		chef_nn	2
mag_1827_553811.txt-241-8	mag_1986_432289.txt-29-3	annotator4	2		chef_nn	2
nf_1977_774125.txt-767-0	nf_1991_774072.txt-1394-40	annotator4	4		chef_nn	2
news_1996_658409.txt-1-8	fic_2007_33461.txt-116-19	annotator4	4		chef_nn	2
news_1983_671296.txt-46-5	fic_1992_40323.txt-77-14	annotator4	4		chef_nn	2
mag_1995_395507.txt-3-6	fic_2005_50340.txt-357-17	annotator4	4		chef_nn	2
news_2006_623954.txt-164-19	mag_2002_397228.txt-0-30	annotator4	4		chef_nn	2
fic_1973_10570.txt-3537-12	news_2007_637870.txt-20-6	annotator4	4		chef_nn	2
news_1995_631301.txt-29-11	news_2007_637870.txt-20-6	annotator4	4		chef_nn	2
mag_1996_427510.txt-24-23	fic_1848_1108.txt-660-44	annotator4	4		chef_nn	2
fic_1846_544.txt-2808-20	mag_2002_397228.txt-0-30	annotator4	2		chef_nn	2
mag_1834_564675.txt-91-45	news_1995_631270.txt-48-3	annotator4	1		chef_nn	2
fic_1819_8988.txt-1529-15	mag_1994_426049.txt-149-1	annotator4	2		chef_nn	2
fic_1844_3928.txt-3319-1	fic_2007_33461.txt-116-19	annotator4	2		chef_nn	2
news_2004_617203.txt-102-4	fic_2007_33461.txt-116-19	annotator4	4		chef_nn	2
fic_1993_25002.txt-9471-1	mag_1998_400332.txt-12-12	annotator4	4		chef_nn	2
news_1997_610581.txt-97-15	news_1995_631270.txt-48-3	annotator4	4		chef_nn	2
mag_1998_400332.txt-12-12	fic_1992_40323.txt-77-14	annotator4	4		chef_nn	2
mag_1986_432289.txt-29-3	mag_1836_554393.txt-176-6	annotator4	2		chef_nn	2
fic_2005_32589.txt-87-26	news_2007_637870.txt-20-6	annotator4	4		chef_nn	2
mag_1988_327176.txt-25-12	nf_1991_774072.txt-1394-40	annotator4	4		chef_nn	2
mag_2004_410917.txt-95-12	nf_1977_774125.txt-1297-15	annotator4	4		chef_nn	2
mag_2006_428641.txt-119-6	nf_1977_774125.txt-1398-15	annotator4	4		chef_nn	2
mag_1982_432096.txt-101-5	news_2006_629441.txt-92-6	annotator4	4		chef_nn	2
mag_1835_554346.txt-89-53	nf_1977_774125.txt-1398-15	annotator4	2		chef_nn	2
news_1992_619168.txt-32-23	fic_1848_1108.txt-660-44	annotator4	4		chef_nn	2
mag_1827_553811.txt-58-39	nf_1991_774072.txt-1394-40	annotator4	2		chef_nn	2
nf_1999_774962.txt-306-26	fic_2005_50340.txt-357-17	annotator4	4		chef_nn	2
news_2002_603927.txt-69-19	fic_2007_33461.txt-116-19	annotator4	4		chef_nn	2
fic_1819_8988.txt-1529-15	news_1995_631270.txt-48-3	annotator4	2		chef_nn	2
nf_1838_747482.txt-728-5	news_2007_637870.txt-20-6	annotator4	4		chef_nn	2
mag_1843_565236.txt-728-35	fic_2004_32588.txt-86-3	annotator4	1		chef_nn	2
fic_1963_780073.txt-930-21	news_2006_629441.txt-92-6	annotator4	4		chef_nn	2
fic_1844_3928.txt-2022-43	fic_1848_1108.txt-660-44	annotator4	2		chef_nn	2
news_1994_606769.txt-54-0	mag_2002_397228.txt-0-30	annotator4	4		chef_nn	2
fic_1835_7143.txt-1888-47	nf_1991_774072.txt-1394-40	annotator4	2		chef_nn	2
fic_1995_39408.txt-349-5	nf_1977_774125.txt-1297-15	annotator4	2		chef_nn	2
fic_1998_43729.txt-862-4	news_2006_629441.txt-92-6	annotator4	4		chef_nn	2
fic_1848_1108.txt-892-14	mag_1986_432289.txt-29-3	annotator4	4		chef_nn	2
mag_1827_553813.txt-226-40	mag_1986_432289.txt-29-3	annotator4	2		chef_nn	2
nf_1991_774072.txt-1191-11	fic_2005_50340.txt-357-17	annotator4	4		chef_nn	2
news_1981_671027.txt-1-32	news_2006_629441.txt-92-6	annotator0	4		chef_nn	2
mag_1995_395507.txt-21-17	fic_2007_33461.txt-116-19	annotator0	4		chef_nn	2
nf_1977_774125.txt-1398-15	fic_1827_7168.txt-915-10	annotator0	0	Unsure; while “chef d'oeuvres” is used in English, I believe it's still generally considered French and not English	chef_nn	2
fic_1848_1108.txt-892-14	mag_1986_432289.txt-29-3	annotator0	4	Unsure; difficult to judge the meaning in sentence 2	chef_nn	2
fic_1835_7143.txt-1888-47	nf_1999_774962.txt-306-26	annotator0	0	UNK; “chef d'escadron” is French	chef_nn	2
fic_1848_1108.txt-1271-6	fic_2005_50340.txt-357-17	annotator0	4	Unsure; difficult to judge the meaning in sentence 1	chef_nn	2
fic_1848_1108.txt-1267-1	news_2006_629441.txt-92-6	annotator0	4	Unsure; difficult to judge the meaning in sentence 2	chef_nn	2
mag_2009_405412.txt-17-12	mag_1986_432289.txt-29-3	annotator0	4		chef_nn	2
mag_2006_428641.txt-119-6	nf_1977_774125.txt-1398-15	annotator0	4		chef_nn	2
fic_2004_49470.txt-126-19	nf_1991_774072.txt-1394-40	annotator0	4		chef_nn	2
fic_1848_1108.txt-902-6	fic_2007_33461.txt-116-19	annotator0	4	Unsure; difficult to judge the meaning in sentence 2	chef_nn	2
fic_1998_43248.txt-105-21	mag_2002_397228.txt-0-30	annotator0	4		chef_nn	2
